fetched_at,league,match_id,commence_time,home_team,away_team,outcome,pinnacle_odds,pinnacle_fair_prob,unibet_se_odds,unibet_se_edge,best_book,best_odds,best_edge,flag
2026-08-11T11:33:05.886665+00:00,soccer_norway_eliteserien,de5e7844ab0a9a374e350704d975df62,2026-08-16T17:15:00Z,Fredrikstad FK,Kristiansund BK,Kristiansund BK,3.98,0.239,3.4,-0.1875,onexbet,4.04,-0.0345,
2026-08-11T11:33:05.886665+00:00,soccer_norway_eliteserien,de5e7844ab0a9a374e350704d975df62,2026-08-16T17:15:00Z,Fredrikstad FK,Kristiansund BK,Draw,3.69,0.2578,3.5,-0.0978,betfair_sb_uk,3.7,-0.0463,
2026-08-11T11:33:06.243450+00:00,soccer_sweden_allsvenskan,6bf2a0cde15cd3833ac0ec0aeb87286c,2026-08-14T17:00:00Z,IF Elfsborg,Västerås SK,IF Elfsborg,1.83,0.5147,1.85,-0.0478,gtbets,1.89,-0.0272,
2026-08-11T11:33:06.243450+00:00,soccer_sweden_allsvenskan,6bf2a0cde15cd3833ac0ec0aeb87286c,2026-08-14T17:00:00Z,IF Elfsborg,Västerås SK,Västerås SK,4.0,0.2355,4.35,0.0243,coolbet,4.5,0.0596,
2026-08-11T11:33:06.243450+00:00,soccer_sweden_allsvenskan,6bf2a0cde15cd3833ac0ec0aeb87286c,2026-08-14T17:00:00Z,IF Elfsborg,Västerås SK,Draw,3.77,0.2498,3.8,-0.0506,betfair_ex_uk,3.95,-0.0131,
2026-08-11T11:33:06.243645+00:00,soccer_sweden_allsvenskan,f66d5c0307a1d2490c036414a7c8cbd3,2026-08-15T13:00:00Z,Mjällby AIF,IK Sirius,IK Sirius,2.08,0.4535,2.08,-0.0568,coolbet,2.15,-0.025,
2026-08-11T11:33:06.243645+00:00,soccer_sweden_allsvenskan,f66d5c0307a1d2490c036414a7c8cbd3,2026-08-15T13:00:00Z,Mjällby AIF,IK Sirius,Mjällby AIF,3.29,0.2867,3.5,0.0034,unibet_se,3.5,0.0034,
2026-08-11T11:33:06.243645+00:00,soccer_sweden_allsvenskan,f66d5c0307a1d2490c036414a7c8cbd3,2026-08-15T13:00:00Z,Mjällby AIF,IK Sirius,Draw,3.63,0.2598,3.8,-0.0126,unibet_se,3.8,-0.0126,
2026-08-11T11:33:06.243817+00:00,soccer_sweden_allsvenskan,ca04f083fef6f9be4ebb2ad8e4584424,2026-08-16T12:00:00Z,Djurgardens IF,AIK,AIK,5.76,0.163,5.3,-0.1362,onexbet,5.9,-0.0385,
2026-08-11T11:33:06.243817+00:00,soccer_sweden_allsvenskan,ca04f083fef6f9be4ebb2ad8e4584424,2026-08-16T12:00:00Z,Djurgardens IF,AIK,Djurgardens IF,1.48,0.6343,1.62,0.0275,unibet_se,1.62,0.0275,
2026-08-11T11:33:06.243817+00:00,soccer_sweden_allsvenskan,ca04f083fef6f9be4ebb2ad8e4584424,2026-08-16T12:00:00Z,Djurgardens IF,AIK,Draw,4.63,0.2027,4.6,-0.0674,unibet_se,4.6,-0.0674,
2026-08-11T11:33:06.243995+00:00,soccer_sweden_allsvenskan,a145c2b49092d2dc91f0b10ef800dcfd,2026-08-16T12:00:00Z,Degerfors IF,IFK Goteborg,Degerfors IF,3.02,0.3124,3.3,0.0311,unibet_se,3.3,0.0311,VALUE
